product_id;product_name;prezzoAcquisto;id;category;price;cost;costoproduzione_foodbev;costoproduzione_materiali;costoproduzione_extra;costoproduzione_personale;costoproduzione_struttura;costoproduzione_consumi
1;TONNO CON VERDURE;2,1;1;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
10;ORECCH. SPADA.POM.FR.;2,25;10;2;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
105;PICC. BIONDA;0,6;105;10;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
106;MEDIA BIONDA;1,2;106;10;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
107;BIONDA 1L;3;107;10;10;1;0,5;0,2;0,3;1,5;0,5;1
108;PICC. ROSSA;0,75;108;10;2,5;0,25;0,125;0,05;0,075;0,375;0,125;0,25
109;MEDIA ROSSA;1,35;109;10;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
11;AGNOLOTTI AL RAGU';1,95;11;2;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
110;ROSSA 1L;3;110;10;10;1;0,5;0,2;0,3;1,5;0,5;1
111;COCA COLA LATT.;0,6;111;10;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
112;SPRITE LATT.;0,6;112;10;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
113;FANTA LATT.;0,6;113;10;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
114;COCA PICC.;0,6;114;10;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
115;COCA MED.;1,2;115;10;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
116;ACQUA NAT.;0,45;116;10;1,5;0,15;0,075;0,03;0,045;0,225;0,075;0,15
117;ACQUA FRIZZ.;0,45;117;10;1,5;0,15;0,075;0,03;0,045;0,225;0,075;0,15
118;GAZZ. LURISIA;0,75;118;10;2,5;0,25;0,125;0,05;0,075;0,375;0,125;0,25
119;CHIN. LURISIA;0,75;119;10;2,5;0,25;0,125;0,05;0,075;0,375;0,125;0,25
120;AMARI;0,6;120;11;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
121;GRAPPE;0,75;121;11;2,5;0,25;0,125;0,05;0,075;0,375;0,125;0,25
122;WHISKY;1,2;122;11;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
123;CAFFE';0,3;123;;1;0,1;0,05;0,02;0,03;0,15;0,05;0,1
124;CAFFE' DEK;0,45;124;11;1,5;0,15;0,075;0,03;0,045;0,225;0,075;0,15
126;COPERTO;0,6;126;;2;0,2;0,1;0,04;0,06;0,3;0,1;0,2
127;****;0;127;3;0;0;0;0;0;0;0;0
128;POMODORO;0;136;12;0;0;0;0;0;0;0;0
129;MOZZARELLA;0;137;12;0;0;0;0;0;0;0;0
130;ORIGANO;0;138;12;0;0;0;0;0;0;0;0
131;STRACCHINO;0;139;12;0;0;0;0;0;0;0;0
132;RUCOLA;0;140;12;0;0;0;0;0;0;0;0
133;GAMBERETTI;0;141;12;0;0;0;0;0;0;0;0
134;SALSICCIA;0;142;12;0;0;0;0;0;0;0;0
135;FRIARIELLI;0;143;12;0;0;0;0;0;0;0;0
136;MOZZARELLA BUFALA;0;144;12;0;0;0;0;0;0;0;0
137;MANZO;0;145;12;0;0;0;0;0;0;0;0
138;BRIE;0;146;12;0;0;0;0;0;0;0;0
139;SPECK;0;147;12;0;0;0;0;0;0;0;0
14;RIS. SCOGLIO;3,15;14;2;10,5;1,05;0,525;0,21;0,315;1,575;0,525;1,05
140;GORGO;0;148;12;0;0;0;0;0;0;0;0
141;NOCI;0;149;12;0;0;0;0;0;0;0;0
142;FAGIOLI;0;150;12;0;0;0;0;0;0;0;0
143;BACON;0;151;12;0;0;0;0;0;0;0;0
144;CIPOLLA;0;152;12;0;0;0;0;0;0;0;0
145;OLIVE NERE;0;153;12;0;0;0;0;0;0;0;0
146;PATATINE FRITTE;0;154;12;0;0;0;0;0;0;0;0
147;ACCIUGHE;0;155;12;0;0;0;0;0;0;0;0
148;ORIGANO;0;156;12;0;0;0;0;0;0;0;0
149;CIPOLLE TROPEA;0;157;12;0;0;0;0;0;0;0;0
15;PAELLA;3,75;15;2;12,5;1,25;0,625;0,25;0,375;1,875;0,625;1,25
150;N'DUJA;0;158;12;0;0;0;0;0;0;0;0
152;PROSC. COTTO;0;160;12;0;0;0;0;0;0;0;0
153;FUNGHI;0;161;12;0;0;0;0;0;0;0;0
154;CARCIOFI;0;162;12;0;0;0;0;0;0;0;0
155;PROSC. CRUDO;0;163;12;0;0;0;0;0;0;0;0
156;FONTINA;0;164;12;0;0;0;0;0;0;0;0
157;BERNA;0;165;12;0;0;0;0;0;0;0;0
158;WURSTEL;0;166;12;0;0;0;0;0;0;0;0
159;PERE;0;167;12;0;0;0;0;0;0;0;0
160;UOVO;0;168;12;0;0;0;0;0;0;0;0
161;AGLIO;0;169;12;0;0;0;0;0;0;0;0
162;PREZZEMOLO;0;170;12;0;0;0;0;0;0;0;0
164;TOMINO;0;172;12;0;0;0;0;0;0;0;0
165;PEPERONCINO;0;173;12;0;0;0;0;0;0;0;0
166;LARDO;0;174;12;0;0;0;0;0;0;0;0
167;BASILICO;0;175;12;0;0;0;0;0;0;0;0
168;MELANZANE;0;176;12;0;0;0;0;0;0;0;0
169;ASPARAGI;0;177;12;0;0;0;0;0;0;0;0
17;SCALOP. PORC.;2,25;17;3;7,5;0,75;0,375;0,15;0,225;1,125;0,375;0,75
171;SUGO;0;179;19;0;0;0;0;0;0;0;0
173;CAPRINO;2,1;181;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
176;MAIS;0;187;12;0;0;0;0;0;0;0;0
178;B.C;0;189;12;0;0;0;0;0;0;0;0
179;BRESAOLA;0;190;12;0;0;0;0;0;0;0;0
18;SCALOP. VINO;1,8;18;3;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
180;CAPPERI;0;191;12;0;0;0;0;0;0;0;0
181;DIV.2PIATTI;0;192;12;0;0;0;0;0;0;0;0
182;DOPO COTTURA;0;193;12;0;0;0;0;0;0;0;0
183;DOPPIO IMPASTO;0;194;12;0;0;0;0;0;0;0;0
184;GRANA;0;195;12;0;0;0;0;0;0;0;0
185;META E META;0;196;12;0;0;0;0;0;0;0;0
186;OLIO PICC.;0;197;12;0;0;0;0;0;0;0;0
187;PANNA;0;198;12;0;0;0;0;0;0;0;0
188;PATATE LESSE;0;199;12;0;0;0;0;0;0;0;0
189;PEPERONI;0;200;12;0;0;0;0;0;0;0;0
19;COSTATA;3;19;3;10;1;0,5;0,2;0,3;1,5;0,5;1
190;POC.CIP;0;201;12;0;0;0;0;0;0;0;0
191;POCO COTT.;0;202;12;0;0;0;0;0;0;0;0
192;POCA MOZZ.;0;203;12;0;0;0;0;0;0;0;0
193;POCO PICC.;0;204;12;0;0;0;0;0;0;0;0
194;POCO POM.;0;205;12;0;0;0;0;0;0;0;0
195;POM.FR.;0;206;12;0;0;0;0;0;0;0;0
196;PORC.;0;207;12;0;0;0;0;0;0;0;0
197;RINFORZO;0;208;12;0;0;0;0;0;0;0;0
198;SAL.CINGH.;0;209;12;0;0;0;0;0;0;0;0
199;SAL.DOLCE;0;210;12;0;0;0;0;0;0;0;0
2;ANTIP. MISTO;3;2;18;10;1;0,5;0,2;0,3;1,5;0,5;1
20;FILETTO PIASTRA;4,05;20;3;13,5;1,35;0,675;0,27;0,405;2,025;0,675;1,35
200;SAL.PICC.;0;211;12;0;0;0;0;0;0;0;0
201;SOTTILE;0;212;12;0;0;0;0;0;0;0;0
203;TAGLIATA;0;214;12;0;0;0;0;0;0;0;0
204;TONNO;0;215;12;0;0;0;0;0;0;0;0
206;ZUCCHINE;0;217;12;0;0;0;0;0;0;0;0
207;ABB.;0;218;19;0;0;0;0;0;0;0;0
208;AGLIO;0;219;19;0;0;0;0;0;0;0;0
209;AL DENTE;0;220;19;0;0;0;0;0;0;0;0
21;FIL. PEPE VERDE;4,35;21;3;14,5;1,45;0,725;0,29;0,435;2,175;0,725;1,45
210;ASPARAGI;0;221;19;0;0;0;0;0;0;0;0
211;BASILICO;0;222;19;0;0;0;0;0;0;0;0
212;BURRO;0;223;19;0;0;0;0;0;0;0;0
213;CIPOLLA;0;224;19;0;0;0;0;0;0;0;0
214;COZZE;0;225;19;0;0;0;0;0;0;0;0
215;DIV.2.PIATTI;0;226;19;0;0;0;0;0;0;0;0
216;GAMBERETTI;0;227;19;0;0;0;0;0;0;0;0
217;ORECCHIETTE;0;228;19;0;0;0;0;0;0;0;0
